cabin no-0 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-0 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-0 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-1 Passenger no- 0 firstName= bob, sureName= paul, expenses= 1000
cabin no-1 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-1 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-2 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-2 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-2 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-3 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-3 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-3 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-4 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-4 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-4 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-5 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-5 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-5 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-6 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-6 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-6 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-7 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-7 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-7 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-8 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-8 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-8 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-9 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-9 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-9 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-10 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-10 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-10 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
cabin no-11 Passenger no- 0 firstName= empty, sureName= empty, expenses= 0
cabin no-11 Passenger no- 1 firstName= empty, sureName= empty, expenses= 0
cabin no-11 Passenger no- 2 firstName= empty, sureName= empty, expenses= 0
